,model1.prt [Project(1) [model1]],,,,,,,,,
,,,,,,,,,,
,Goal Name,Unit,Value,Averaged Value,Minimum Value,Maximum Value,Progress [%],Use In Convergence,Delta,Criteria
,PG Heat Transfer Coefficient 1,[W/m^2/K],6.41149569460665,4.2442248900726,1.46745134769104,8.35195305234372,100,Yes,0.943944240942067,3.67900951688057
,PG Heat Transfer Coefficient 2,[W/m^2/K],2.02501333187868,1.43894674903237,0.559867832884771,2.15094899161219,100,Yes,1.59108115872742,3.19741839078918
,PG Heat Transfer Coefficient 3,[W/m^2/K],6.2261328985535,4.07481329108371,1.91117488444857,7.43967595259258,100,Yes,0.872849524914561,3.76484628113993
,PG Heat Transfer Coefficient 4,[W/m^2/K],2.2802881935545,1.77142251314259,0.868501181096647,2.77701031226874,100,Yes,1.90850913117209,3.19547367630938
,PG Heat Transfer Coefficient 5,[W/m^2/K],5.80528533201081,3.86541194097651,2.18792852069779,6.04397192391768,100,Yes,0.695219973406014,3.95326998786835
,PG Heat Transfer Coefficient 6,[W/m^2/K],2.05603858499992,1.85824070425371,1.07606011668765,3.54960715473935,100,Yes,2.21519867855912,3.19035333698611
,PG Heat Transfer Coefficient 7,[W/m^2/K],5.2426831013566,3.70799540670113,2.2696652110111,5.2426831013566,100,Yes,0.506287932342447,3.7870546403233
,PG Heat Transfer Coefficient 8,[W/m^2/K],2.05057114471236,2.14592484323974,1.03752862774001,3.87636293865074,100,Yes,2.08693218877567,3.15411655279975
,PG Heat Transfer Coefficient 9,[W/m^2/K],4.80088453501788,3.62821509862941,2.23553041532243,4.85334158944309,100,Yes,0.390934971405233,3.26068267885784
,PG Heat Transfer Coefficient 10,[W/m^2/K],2.5681067165488,2.4131364658816,1.19911067030267,4.04276737368321,100,Yes,2.14602203080592,3.11374591151317
,PG Heat Transfer Coefficient 11,[W/m^2/K],4.53563002468824,3.60785205753544,2.0806528193838,4.92785217908027,100,Yes,0.272025218701629,3.15644822948472
,PG Heat Transfer Coefficient 12,[W/m^2/K],2.72146732188724,2.37175431211649,1.02611154610074,4.11529973681617,100,Yes,2.2511388676133,3.1147109984615
,PG Heat Transfer Coefficient 13,[W/m^2/K],4.10032038647426,3.59640748235349,2.11004019568859,4.9182644513958,100,Yes,0.207981833926986,3.15698318348027
,PG Heat Transfer Coefficient 14,[W/m^2/K],2.09552749521144,2.15571717928155,1.18709521725994,4.76074246347824,100,Yes,2.50156636268002,3.13414367413504
,PG Heat Transfer Coefficient 15,[W/m^2/K],3.55743333486672,3.59800953145522,2.16383884435528,4.72845218447434,100,Yes,0.180823650920503,2.80325072572064
,PG Heat Transfer Coefficient 16,[W/m^2/K],1.70092061672247,2.03915605504334,1.14136682543171,5.25803102628316,100,Yes,2.68855593360401,3.14128210120804
,PG Heat Transfer Coefficient 17,[W/m^2/K],2.86001333373481,3.6128218150347,2.08558533283838,4.90083109287779,100,Yes,0.186276192372099,2.68149626614465
,PG Heat Transfer Coefficient 18,[W/m^2/K],1.80882121260411,2.07984277248949,1.12470910159479,4.53926109995025,100,Yes,2.58571961873781,3.10808999085114
,PG Heat Transfer Coefficient 19,[W/m^2/K],2.27181327704361,3.62047564598177,2.19322164908555,5.02131491146814,100,Yes,0.213634218113297,2.31896264697254
,PG Heat Transfer Coefficient 20,[W/m^2/K],1.8406700868214,2.19682760913614,1.48642808136936,3.52693080932113,100,Yes,2.04050272795177,3.16846262757919
,PG Heat Transfer Coefficient 21,[W/m^2/K],2.10022851742143,3.60522539130634,2.10022851742143,4.84510670667551,100,Yes,0.239670314966214,2.42385966605609
,PG Heat Transfer Coefficient 22,[W/m^2/K],1.7022706211887,2.30116741379652,1.6588868116719,3.76039152236586,100,Yes,1.71745827462247,3.0997939205617
,PG Heat Transfer Coefficient 23,[W/m^2/K],2.35324761110182,3.57138887970721,2.35324761110182,4.80633402019831,100,Yes,0.268286719806428,2.78086408118554
,PG Heat Transfer Coefficient 24,[W/m^2/K],1.92839016124981,2.37208143729423,1.63084475632034,3.97715312327498,100,Yes,1.20188525083172,3.14716165353928
,PG Heat Transfer Coefficient 25,[W/m^2/K],2.75926477121088,3.54847964850778,2.54192574326073,4.76523848831457,100,Yes,0.259641556735301,2.92732979725641
,PG Heat Transfer Coefficient 26,[W/m^2/K],2.57618107688175,2.42345275302877,1.52595406266442,4.1505803178591,100,Yes,0.772071103025231,3.10432170412522
,PG Heat Transfer Coefficient 27,[W/m^2/K],3.10429287651241,3.55032333960319,2.58879438245228,4.50699516175106,100,Yes,0.239908964139629,3.14385357322204
,PG Heat Transfer Coefficient 28,[W/m^2/K],2.92704125410918,2.45593964703965,1.54750306698806,4.13797107422531,100,Yes,0.451809458702066,3.0252758555716
,PG Heat Transfer Coefficient 29,[W/m^2/K],3.37689791653047,3.57994636569726,2.7190996589555,4.29087346440145,100,Yes,0.227548598505901,3.13519244756958
,PG Heat Transfer Coefficient 30,[W/m^2/K],2.64158910570706,2.45135112799363,1.60198295222811,3.98176932739731,100,Yes,0.259103419780176,3.02825334043014
,PG Heat Transfer Coefficient 31,[W/m^2/K],3.67408768794671,3.66477426721914,3.01253531235817,4.24895661908854,100,Yes,0.200730571599647,3.07877587590068
,PG Heat Transfer Coefficient 32,[W/m^2/K],2.17986391918619,2.42213344543553,1.6818608450467,3.70407836284831,100,Yes,0.157840218091632,3.02668967588171
,PG Heat Transfer Coefficient 33,[W/m^2/K],3.96441433958893,3.83012446393034,3.37551546341108,4.29779776228975,100,Yes,0.158867233709553,3.06020959940769
