X [m],Y [m],Z [m],Heat Transfer Coefficient [W/m^2/K]
0.0105,0.0485,0.003,2.850473296
0.0105,0.0495,0,2.243606204
0.0105,0.0495,0.003,2.741840465
0.0105,0.0505,0,2.237708167
0.0105,0.0505,0.003,2.633207634
0.0105,0.0515,0,2.272900002
0.0105,0.0515,0.003,2.519469964
0.0105,0.0525,0,2.343244727
0.0105,0.0525,0.003,2.401365041
0.0105,0.0535,0,2.413589452
0.0105,0.0535,0.003,2.283260118
0.0105,0.0545,0,2.483934177
0.0105,0.0545,0.003,2.165155196
0.0105,0.0555,0,2.56880146
0.0105,0.0555,0.003,2.093376684
0.0105,0.0565,0,2.662609981
0.0105,0.0565,0.003,2.050120384
0.0105,0.0575,0,2.756418503
0.0105,0.0575,0.003,2.006864083
0.0105,0.0585,0,2.850227024
0.0105,0.0585,0.003,1.963607782
0.0105,0.0595,0,2.932695421
0.0105,0.0595,0.003,1.969511792
0.0105,0.0605,0,3.010279074
0.0105,0.0605,0.003,1.996591546
0.0105,0.0615,0,3.087862727
0.0105,0.0615,0.003,2.0236713
0.0105,0.0625,0,3.16544638
0.0105,0.0625,0.003,2.050751054
0.0105,0.0635,0,3.233111989
0.0105,0.0635,0.003,2.086677995
0.0105,0.0645,0,3.297962812
0.0105,0.0645,0.003,2.125115809
0.0105,0.0655,0,3.362813635
0.0105,0.0655,0.003,2.163553622
0.0105,0.0665,0,3.427664457
0.0105,0.0665,0.003,2.201991435
0.0105,0.0675,0,3.486242091
0.0105,0.0675,0.003,2.222970141
0.0105,0.0685,0,3.543789461
0.0105,0.0685,0.003,2.241081488
0.0105,0.0695,0,3.601336832
0.0105,0.0695,0.003,2.259192835
0.0105,0.0705,0,3.658884202
0.0105,0.0705,0.003,2.277304182
0.0105,0.0715,0,3.719915987
0.0105,0.0715,0.003,2.284178627
0.0105,0.0725,0,3.781174386
0.0105,0.0725,0.003,2.290322261
0.0105,0.0735,0,3.842432785
0.0105,0.0735,0.003,2.296465895
0.0105,0.0745,0,3.903626107
0.0105,0.0745,0.003,2.302543788
0.0105,0.0755,0,3.961447558
0.0105,0.0755,0.003,2.305215434
0.0105,0.0765,0,4.019269009
0.0105,0.0765,0.003,2.307887079
0.0105,0.0775,0,4.07709046
0.0105,0.0775,0.003,2.310558725
0.0105,0.0785,0,4.132323616
0.0105,0.0785,0.003,2.313461761
0.0105,0.0795,0,4.163983425
0.0105,0.0795,0.003,2.318472231
0.0105,0.0805,0,4.195643234
0.0105,0.0805,0.003,2.3234827
0.0105,0.0815,0,4.227303044
0.0105,0.0815,0.003,2.32849317
0.0105,0.0825,0,4.258830412
0.0105,0.0825,0.003,2.336158368
0.0105,0.0835,0,4.289750055
0.0105,0.0835,0.003,2.356005135
0.0105,0.0845,0,4.320669699
0.0105,0.0845,0.003,2.375851902
0.0105,0.0855,0,4.351589342
0.0105,0.0855,0.003,2.395698669
0.0105,0.0865,0,4.394698097
0.0105,0.0865,0.003,2.421645123
0.0105,0.0875,0,4.472691811
0.0105,0.0875,0.003,2.465048744
0.0105,0.0885,0,4.550685524
0.0105,0.0885,0.003,2.508452365
0.0105,0.0895,0,4.628679238
0.0105,0.0895,0.003,2.551855985
0.0105,0.0905,0,4.748060209
0.0105,0.0905,0.003,2.597246849
0.0105,0.0915,0,4.948163743
0.0105,0.0915,0.003,2.646513673
0.0105,0.0925,0,5.148267276
0.0105,0.0925,0.003,2.695780497
0.0105,0.0935,0,5.348370809
0.0105,0.0935,0.003,2.745047321
0.0105,0.0945,0,6.597249203
0.0105,0.0945,0.003,3.325516317
0.0105,0.0955,0,9.300785378
0.0105,0.0955,0.003,4.642766297
0.0105,0.0965,0,12.00432155
0.0105,0.0965,0.003,5.960016276
0.0105,0.0975,0,14.70785773
0.0105,0.0975,0.003,7.277266256
0.0105,0.0985,0,16.54291476
0.0105,0.0985,0.003,8.17978276
0.0105,0.0995,0,17.50578407
0.0105,0.0995,0.003,8.665794793
0.0115,0.0005,0,5.858654699
0.0115,0.0005,0.003,3.397737544
0.0115,0.0015,0,5.86428972
0.0115,0.0015,0.003,3.554723723
0.0115,0.0025,0,5.869924741
0.0115,0.0025,0.003,3.711709902
0.0115,0.0035,0,5.875559762
0.0115,0.0035,0.003,3.868696082
0.0115,0.0045,0,5.863312118
0.0115,0.0045,0.003,4.045498345
0.0115,0.0055,0,5.838058208
0.0115,0.0055,0.003,4.23671307
0.0115,0.0065,0,5.812804299
0.0115,0.0065,0.003,4.427927796
0.0115,0.0075,0,5.787550389
0.0115,0.0075,0.003,4.619142521
0.0115,0.0085,0,5.738629887
0.0115,0.0085,0.003,4.630309236
0.0115,0.0095,0,5.677459533
0.0115,0.0095,0.003,4.548282918
0.0115,0.0105,0,5.616289179
0.0115,0.0105,0.003,4.4662566
0.0115,0.0115,0,5.555118824
0.0115,0.0115,0.003,4.384230282
0.0115,0.0125,0,5.478704943
0.0115,0.0125,0.003,4.141718387
0.0115,0.0135,0,5.396905531
0.0115,0.0135,0.003,3.842507016
0.0115,0.0145,0,5.31510612
0.0115,0.0145,0.003,3.543295645
0.0115,0.0155,0,5.233306708
0.0115,0.0155,0.003,3.244084275
0.0115,0.0165,0,5.140996452
0.0115,0.0165,0.003,3.090127757
0.0115,0.0175,0,5.046362263
0.0115,0.0175,0.003,2.968286875
0.0115,0.0185,0,4.951728074
0.0115,0.0185,0.003,2.846445994
0.0115,0.0195,0,4.857093886
0.0115,0.0195,0.003,2.724605113
0.0115,0.0205,0,4.786351549
0.0115,0.0205,0.003,2.881894443
0.0115,0.0215,0,4.718295322
0.0115,0.0215,0.003,3.070565775
0.0115,0.0225,0,4.650239095
0.0115,0.0225,0.003,3.259237108
0.0115,0.0235,0,4.582182868
0.0115,0.0235,0.003,3.44790844
0.0115,0.0245,0,4.514242607
0.0115,0.0245,0.003,3.567724929
0.0115,0.0255,0,4.446304842
0.0115,0.0255,0.003,3.68605976
0.0115,0.0265,0,4.378367077
0.0115,0.0265,0.003,3.804394592
0.0115,0.0275,0,4.3092009
0.0115,0.0275,0.003,3.911094661
0.0115,0.0285,0,4.220419531
0.0115,0.0285,0.003,3.832011719
0.0115,0.0295,0,4.131638161
0.0115,0.0295,0.003,3.752928778
0.0115,0.0305,0,4.042856791
0.0115,0.0305,0.003,3.673845836
0.0115,0.0315,0,3.951042709
0.0115,0.0315,0.003,3.591112588
0.0115,0.0325,0,3.840433014
0.0115,0.0325,0.003,3.485756109
0.0115,0.0335,0,3.729823319
0.0115,0.0335,0.003,3.38039963
0.0115,0.0345,0,3.619213624
0.0115,0.0345,0.003,3.275043151
0.0115,0.0355,0,3.503566083
0.0115,0.0355,0.003,3.186942168
0.0115,0.0365,0,3.369945668
0.0115,0.0365,0.003,3.160401398
0.0115,0.0375,0,3.236325252
0.0115,0.0375,0.003,3.133860629
0.0115,0.0385,0,3.102704836
0.0115,0.0385,0.003,3.107319859
0.0115,0.0395,0,2.972675141
0.0115,0.0395,0.003,3.092979082
0.0115,0.0405,0,2.851066448
0.0115,0.0405,0.003,3.107249871
0.0115,0.0415,0,2.729457755
0.0115,0.0415,0.003,3.121520661
0.0115,0.0425,0,2.607849061
0.0115,0.0425,0.003,3.135791451
0.0115,0.0435,0,2.503827731
0.0115,0.0435,0.003,3.132395155
0.0115,0.0445,0,2.428631685
0.0115,0.0445,0.003,3.100042912
0.0115,0.0455,0,2.353435639
0.0115,0.0455,0.003,3.06769067
0.0115,0.0465,0,2.278239593
0.0115,0.0465,0.003,3.035338428
0.0115,0.0475,0,2.238874253
0.0115,0.0475,0.003,2.965383195
0.0115,0.0485,0,2.241751852
0.0115,0.0485,0.003,2.851095575
0.0115,0.0495,0,2.24462945
0.0115,0.0495,0.003,2.736807955
0.0115,0.0505,0,2.247507049
0.0115,0.0505,0.003,2.622520335
0.0115,0.0515,0,2.29127191
0.0115,0.0515,0.003,2.498881123
0.0115,0.0525,0,2.370016327
0.0115,0.0525,0.003,2.367241511
0.0115,0.0535,0,2.448760744
0.0115,0.0535,0.003,2.235601899
0.0115,0.0545,0,2.527505162
0.0115,0.0545,0.003,2.103962287
0.0115,0.0555,0,2.617249044
0.0115,0.0555,0.003,2.016638789
0.0115,0.0565,0,2.713765068
0.0115,0.0565,0.003,1.956599803
0.0115,0.0575,0,2.810281093
0.0115,0.0575,0.003,1.896560818
0.0115,0.0585,0,2.906797117
0.0115,0.0585,0.003,1.836521833
0.0115,0.0595,0,2.989713679
0.0115,0.0595,0.003,1.829309721
0.0115,0.0605,0,3.06677229
0.0115,0.0605,0.003,1.844852721
0.0115,0.0615,0,3.143830901
0.0115,0.0615,0.003,1.86039572
0.0115,0.0625,0,3.220889512
0.0115,0.0625,0.003,1.87593872
0.0115,0.0635,0,3.287169623
0.0115,0.0635,0.003,1.912467671
0.0115,0.0645,0,3.350390746
0.0115,0.0645,0.003,1.954952532
0.0115,0.0655,0,3.413611868
0.0115,0.0655,0.003,1.997437393
0.0115,0.0665,0,3.476832991
0.0115,0.0665,0.003,2.039922254
0.0115,0.0675,0,3.535964659
0.0115,0.0675,0.003,2.078981096
0.0115,0.0685,0,3.594424705
0.0115,0.0685,0.003,2.117477273
0.0115,0.0695,0,3.652884751
0.0115,0.0695,0.003,2.155973449
0.0115,0.0705,0,3.711344796
0.0115,0.0705,0.003,2.194469626
0.0115,0.0715,0,3.773180347
0.0115,0.0715,0.003,2.225160278
0.0115,0.0725,0,3.835235429
0.0115,0.0725,0.003,2.255343285
0.0115,0.0735,0,3.897290512
0.0115,0.0735,0.003,2.285526291
0.0115,0.0745,0,3.959202517
0.0115,0.0745,0.003,2.315484693
0.0115,0.0755,0,4.013701274
0.0115,0.0755,0.003,2.333805647
0.0115,0.0765,0,4.068200031
0.0115,0.0765,0.003,2.352126602
0.0115,0.0775,0,4.122698788
0.0115,0.0775,0.003,2.370447556
0.0115,0.0785,0,4.174453471
0.0115,0.0785,0.003,2.38757035
0.0115,0.0795,0,4.201216025
0.0115,0.0795,0.003,2.393780697
0.0115,0.0805,0,4.227978579
0.0115,0.0805,0.003,2.399991043
0.0115,0.0815,0,4.254741133
0.0115,0.0815,0.003,2.40620139
0.0115,0.0825,0,4.281615052
0.0115,0.0825,0.003,2.413175925
0.0115,0.0835,0,4.308999984
0.0115,0.0835,0.003,2.423657042
0.0115,0.0845,0,4.336384915
0.0115,0.0845,0.003,2.434138159
0.0115,0.0855,0,4.363769846
0.0115,0.0855,0.003,2.444619275
0.0115,0.0865,0,4.403975845
0.0115,0.0865,0.003,2.460573505
0.0115,0.0875,0,4.480875448
0.0115,0.0875,0.003,2.492191658
0.0115,0.0885,0,4.557775051
0.0115,0.0885,0.003,2.523809811
0.0115,0.0895,0,4.634674654
0.0115,0.0895,0.003,2.555427965
0.0115,0.0905,0,4.753417278
0.0115,0.0905,0.003,2.591370291
0.0115,0.0915,0,4.953771392
0.0115,0.0915,0.003,2.635746574
0.0115,0.0925,0,5.154125506
0.0115,0.0925,0.003,2.680122856
0.0115,0.0935,0,5.354479621
0.0115,0.0935,0.003,2.724499139
0.0115,0.0945,0,6.601361466
0.0115,0.0945,0.003,3.300706881
0.0115,0.0955,0,9.299784308
0.0115,0.0955,0.003,4.614568432
0.0115,0.0965,0,11.99820715
0.0115,0.0965,0.003,5.928429983
0.0115,0.0975,0,14.69662999
0.0115,0.0975,0.003,7.242291534
0.0115,0.0985,0,16.52812388
0.0115,0.0985,0.003,8.142391818
0.0115,0.0995,0,17.48898685
0.0115,0.0995,0.003,8.626963989
0.0125,0.0005,0,5.753540075
0.0125,0.0005,0.003,3.415096394
0.0125,0.0015,0,5.759349334
0.0125,0.0015,0.003,3.58036794
0.0125,0.0025,0,5.765158592
0.0125,0.0025,0.003,3.745639486
0.0125,0.0035,0,5.77096785
0.0125,0.0035,0.003,3.910911032
0.0125,0.0045,0,5.760826371
0.0125,0.0045,0.003,4.101208621
0.0125,0.0055,0,5.73908374
0.0125,0.0055,0.003,4.309707935
0.0125,0.0065,0,5.717341109
0.0125,0.0065,0.003,4.518207248
0.0125,0.0075,0,5.695598478
0.0125,0.0075,0.003,4.726706561
0.0125,0.0085,0,5.650271788
0.0125,0.0085,0.003,4.755060192
0.0125,0.0095,0,5.592737965
0.0125,0.0095,0.003,4.690170236
0.0125,0.0105,0,5.535204141
0.0125,0.0105,0.003,4.62528028
0.0125,0.0115,0,5.477670318
0.0125,0.0115,0.003,4.560390324
0.0125,0.0125,0,5.403803136
0.0125,0.0125,0.003,4.317515668
0.0125,0.0135,0,5.324165386
0.0125,0.0135,0.003,4.011759105
0.0125,0.0145,0,5.244527636
0.0125,0.0145,0.003,3.706002542
0.0125,0.0155,0,5.164889886
0.0125,0.0155,0.003,3.400245979
0.0125,0.0165,0,5.075722114
0.0125,0.0165,0.003,3.203850468
0.0125,0.0175,0,4.984447268
0.0125,0.0175,0.003,3.031634526
0.0125,0.0185,0,4.893172423
0.0125,0.0185,0.003,2.859418585
0.0125,0.0195,0,4.801897577
0.0125,0.0195,0.003,2.687202643
0.0125,0.0205,0,4.732266475
0.0125,0.0205,0.003,2.802415338
0.0125,0.0215,0,4.665068733
0.0125,0.0215,0.003,2.949943009
0.0125,0.0225,0,4.59787099
0.0125,0.0225,0.003,3.097470681
0.0125,0.0235,0,4.530673247
0.0125,0.0235,0.003,3.244998352
0.0125,0.0245,0,4.462096576
0.0125,0.0245,0.003,3.366108955
0.0125,0.0255,0,4.393490233
0.0125,0.0255,0.003,3.4866511
0.0125,0.0265,0,4.324883889
0.0125,0.0265,0.003,3.607193245
0.0125,0.0275,0,4.255023624
0.0125,0.0275,0.003,3.716830165
0.0125,0.0285,0,4.165140841
0.0125,0.0285,0.003,3.652333255
0.0125,0.0295,0,4.075258057
0.0125,0.0295,0.003,3.587836346
0.0125,0.0305,0,3.985375274
0.0125,0.0305,0.003,3.523339436
0.0125,0.0315,0,3.892235055
0.0125,0.0315,0.003,3.453881078
0.0125,0.0325,0,3.778906471
0.0125,0.0325,0.003,3.35367352
0.0125,0.0335,0,3.665577887
0.0125,0.0335,0.003,3.253465962
0.0125,0.0345,0,3.552249304
0.0125,0.0345,0.003,3.153258405
0.0125,0.0355,0,3.434552267
0.0125,0.0355,0.003,3.068518724
0.0125,0.0365,0,3.30127046
0.0125,0.0365,0.003,3.038961799
0.0125,0.0375,0,3.167988654
0.0125,0.0375,0.003,3.009404874
0.0125,0.0385,0,3.034706847
0.0125,0.0385,0.003,2.979847948
0.0125,0.0395,0,2.90660925
0.0125,0.0395,0.003,2.963224253
0.0125,0.0405,0,2.790669724
0.0125,0.0405,0.003,2.976931724
0.0125,0.0415,0,2.674730198
0.0125,0.0415,0.003,2.990639195
0.0125,0.0425,0,2.558790672
0.0125,0.0425,0.003,3.004346665
0.0125,0.0435,0,2.461463736
0.0125,0.0435,0.003,3.002974679
0.0125,0.0445,0,2.394642404
0.0125,0.0445,0.003,2.97688781
0.0125,0.0455,0,2.327821073
0.0125,0.0455,0.003,2.950800942
0.0125,0.0465,0,2.260999741
0.0125,0.0465,0.003,2.924714073
0.0125,0.0475,0,2.231096302
0.0125,0.0475,0.003,2.863473752
0.0125,0.0485,0,2.24471755
0.0125,0.0485,0.003,2.760788947
0.0125,0.0495,0,2.258338797
0.0125,0.0495,0.003,2.658104142
0.0125,0.0505,0,2.271960045
0.0125,0.0505,0.003,2.555419338
0.0125,0.0515,0,2.324489759
0.0125,0.0515,0.003,2.440338671
0.0125,0.0525,0,2.410306146
0.0125,0.0525,0.003,2.314653191
0.0125,0.0535,0,2.496122532
0.0125,0.0535,0.003,2.188967712
0.0125,0.0545,0,2.581938918
0.0125,0.0545,0.003,2.063282232
0.0125,0.0555,0,2.675031832
0.0125,0.0555,0.003,1.976376027
0.0125,0.0565,0,2.772604754
0.0125,0.0565,0.003,1.913345417
0.0125,0.0575,0,2.870177675
0.0125,0.0575,0.003,1.850314808
0.0125,0.0585,0,2.967750596
0.0125,0.0585,0.003,1.787284198
0.0125,0.0595,0,3.051041192
0.0125,0.0595,0.003,1.776618314
0.0125,0.0605,0,3.128179693
0.0125,0.0605,0.003,1.788508472
0.0125,0.0615,0,3.205318195
0.0125,0.0615,0.003,1.80039863
0.0125,0.0625,0,3.282456696
0.0125,0.0625,0.003,1.812288788
0.0125,0.0635,0,3.347923073
0.0125,0.0635,0.003,1.852641054
0.0125,0.0645,0,3.410076846
0.0125,0.0645,0.003,1.901070999
0.0125,0.0655,0,3.47223062
0.0125,0.0655,0.003,1.949500943
0.0125,0.0665,0,3.534384394
0.0125,0.0665,0.003,1.997930888
0.0125,0.0675,0,3.594138787
0.0125,0.0675,0.003,2.052139494
0.0125,0.0685,0,3.653499122
0.0125,0.0685,0.003,2.107297145
0.0125,0.0695,0,3.712859458
0.0125,0.0695,0.003,2.162454796
0.0125,0.0705,0,3.772219793
0.0125,0.0705,0.003,2.217612448
0.0125,0.0715,0,3.833436281
0.0125,0.0715,0.003,2.264412068
0.0125,0.0725,0,3.894773488
0.0125,0.0725,0.003,2.310668109
0.0125,0.0735,0,3.956110694
0.0125,0.0735,0.003,2.35692415
0.0125,0.0745,0,4.017192882
0.0125,0.0745,0.003,2.402755754
0.0125,0.0755,0,4.065061783
0.0125,0.0755,0.003,2.426595991
0.0125,0.0765,0,4.112930684
0.0125,0.0765,0.003,2.450436228
0.0125,0.0775,0,4.160799586
0.0125,0.0775,0.003,2.474276465
0.0125,0.0785,0,4.206152722
0.0125,0.0785,0.003,2.495827732
0.0125,0.0795,0,4.228593084
0.0125,0.0795,0.003,2.496531806
0.0125,0.0805,0,4.251033447
0.0125,0.0805,0.003,2.49723588
0.0125,0.0815,0,4.27347381
0.0125,0.0815,0.003,2.497939953
0.0125,0.0825,0,4.29668778
0.0125,0.0825,0.003,2.498267771
0.0125,0.0835,0,4.323451544
0.0125,0.0835,0.003,2.496869088
0.0125,0.0845,0,4.350215308
0.0125,0.0845,0.003,2.495470405
0.0125,0.0855,0,4.376979073
0.0125,0.0855,0.003,2.494071723
0.0125,0.0865,0,4.416736826
0.0125,0.0865,0.003,2.498104262
0.0125,0.0875,0,4.493683079
0.0125,0.0875,0.003,2.517680835
0.0125,0.0885,0,4.570629331
0.0125,0.0885,0.003,2.537257408
0.0125,0.0895,0,4.647575584
0.0125,0.0895,0.003,2.55683398
0.0125,0.0905,0,4.766326207
0.0125,0.0905,0.003,2.583630493
0.0125,0.0915,0,4.966612937
0.0125,0.0915,0.003,2.624508925
0.0125,0.0925,0,5.166899666
0.0125,0.0925,0.003,2.665387358
0.0125,0.0935,0,5.367186396
0.0125,0.0935,0.003,2.70626579
0.0125,0.0945,0,6.611793397
0.0125,0.0945,0.003,3.275958717
0.0125,0.0955,0,9.304879633
0.0125,0.0955,0.003,4.579120904
0.0125,0.0965,0,11.99796587
0.0125,0.0965,0.003,5.88228309
0.0125,0.0975,0,14.69105211
0.0125,0.0975,0.003,7.185445277
0.0125,0.0985,0,16.51893784
0.0125,0.0985,0.003,8.077934876
0.0125,0.0995,0,17.4779285
0.0125,0.0995,0.003,8.557998232
0.0135,0.0005,0,5.645359306
0.0135,0.0005,0.003,3.397906245
0.0135,0.0015,0,5.651723774
0.0135,0.0015,0.003,3.570721844
0.0135,0.0025,0,5.658088241
0.0135,0.0025,0.003,3.743537443
0.0135,0.0035,0,5.664452708
0.0135,0.0035,0.003,3.916353042
0.0135,0.0045,0,5.656600625
0.0135,0.0045,0.003,4.119651406
0.0135,0.0055,0,5.638408683
0.0135,0.0055,0.003,4.345120231
0.0135,0.0065,0,5.620216742
0.0135,0.0065,0.003,4.570589055
0.0135,0.0075,0,5.6020248
0.0135,0.0075,0.003,4.796057879
0.0135,0.0085,0,5.559750827
0.0135,0.0085,0.003,4.843714215
0.0135,0.0095,0,5.505011969
0.0135,0.0095,0.003,4.799334627
0.0135,0.0105,0,5.450273111
0.0135,0.0105,0.003,4.754955038
0.0135,0.0115,0,5.395534253
0.0135,0.0115,0.003,4.71057545
0.0135,0.0125,0,5.323709121
0.0135,0.0125,0.003,4.473541599
0.0135,0.0135,0,5.245847417
0.0135,0.0135,0.003,4.16844309
0.0135,0.0145,0,5.167985714
0.0135,0.0145,0.003,3.863344582
0.0135,0.0155,0,5.09012401
0.0135,0.0155,0.003,3.558246073
0.0135,0.0165,0,5.004224988
0.0135,0.0165,0.003,3.318818045
0.0135,0.0175,0,4.916548928
0.0135,0.0175,0.003,3.093909665
0.0135,0.0185,0,4.828872867
0.0135,0.0185,0.003,2.869001285
0.0135,0.0195,0,4.741196806
0.0135,0.0195,0.003,2.644092905
0.0135,0.0205,0,4.672833179
0.0135,0.0205,0.003,2.707463585
0.0135,0.0215,0,4.606640808
0.0135,0.0215,0.003,2.803244854
0.0135,0.0225,0,4.540448436
0.0135,0.0225,0.003,2.899026123
0.0135,0.0235,0,4.474256064
0.0135,0.0235,0.003,2.994807392
0.0135,0.0245,0,4.405432087
0.0135,0.0245,0.003,3.112795007
0.0135,0.0255,0,4.33655148
0.0135,0.0255,0.003,3.231260471
0.0135,0.0265,0,4.267670874
0.0135,0.0265,0.003,3.349725935
0.0135,0.0275,0,4.197475094
0.0135,0.0275,0.003,3.458259584
0.0135,0.0285,0,4.106278707
0.0135,0.0285,0.003,3.408202747
0.0135,0.0295,0,4.015082319
0.0135,0.0295,0.003,3.35814591
0.0135,0.0305,0,3.923885932
0.0135,0.0305,0.003,3.308089073
0.0135,0.0315,0,3.829184712
0.0135,0.0315,0.003,3.251729011
0.0135,0.0325,0,3.712761854
0.0135,0.0325,0.003,3.156303931
0.0135,0.0335,0,3.596338995
0.0135,0.0335,0.003,3.060878851
0.0135,0.0345,0,3.479916136
0.0135,0.0345,0.003,2.965453771
0.0135,0.0355,0,3.35998696
0.0135,0.0355,0.003,2.883849635
0.0135,0.0365,0,3.227548747
0.0135,0.0365,0.003,2.851552708
0.0135,0.0375,0,3.095110534
0.0135,0.0375,0.003,2.819255782
0.0135,0.0385,0,2.962672322
0.0135,0.0385,0.003,2.786958855
0.0135,0.0395,0,2.837047794
0.0135,0.0395,0.003,2.768926115
0.0135,0.0405,0,2.727402803
0.0135,0.0405,0.003,2.784345914
0.0135,0.0415,0,2.617757811
0.0135,0.0415,0.003,2.799765713
0.0135,0.0425,0,2.50811282
0.0135,0.0425,0.003,2.815185512
0.0135,0.0435,0,2.418255895
0.0135,0.0435,0.003,2.818725077
0.0135,0.0445,0,2.360831154
0.0135,0.0445,0.003,2.802793214
0.0135,0.0455,0,2.303406413
0.0135,0.0455,0.003,2.78686135
0.0135,0.0465,0,2.245981671
0.0135,0.0465,0.003,2.770929486
0.0135,0.0475,0,2.226412406
0.0135,0.0475,0.003,2.723309199
0.0135,0.0485,0,2.251473199
0.0135,0.0485,0.003,2.638329557
0.0135,0.0495,0,2.276533992
0.0135,0.0495,0.003,2.553349914
0.0135,0.0505,0,2.301594784
0.0135,0.0505,0.003,2.468370271
0.0135,0.0515,0,2.362957183
0.0135,0.0515,0.003,2.368375696
0.0135,0.0525,0,2.455376051
0.0135,0.0525,0.003,2.255535661
0.0135,0.0535,0,2.547794919
0.0135,0.0535,0.003,2.142695626
0.0135,0.0545,0,2.640213787
0.0135,0.0545,0.003,2.029855592
0.0135,0.0555,0,2.736115581
0.0135,0.0555,0.003,1.949010994
0.0135,0.0565,0,2.834161739
0.0135,0.0565,0.003,1.887865324
0.0135,0.0575,0,2.932207897
0.0135,0.0575,0.003,1.826719654
0.0135,0.0585,0,3.030254056
0.0135,0.0585,0.003,1.765573983
0.0135,0.0595,0,3.113892471
0.0135,0.0595,0.003,1.754870966
0.0135,0.0605,0,3.191324769
0.0135,0.0605,0.003,1.76589606
0.0135,0.0615,0,3.268757067
0.0135,0.0615,0.003,1.776921154
0.0135,0.0625,0,3.346189364
0.0135,0.0625,0.003,1.787946247
0.0135,0.0635,0,3.411044185
0.0135,0.0635,0.003,1.833260894
0.0135,0.0645,0,3.472329459
0.0135,0.0645,0.003,1.888307074
0.0135,0.0655,0,3.533614733
0.0135,0.0655,0.003,1.943353254
0.0135,0.0665,0,3.594900008
0.0135,0.0665,0.003,1.998399434
0.0135,0.0675,0,3.655301413
0.0135,0.0675,0.003,2.066721614
0.0135,0.0685,0,3.715557659
0.0135,0.0685,0.003,2.13722415
0.0135,0.0695,0,3.775813905
0.0135,0.0695,0.003,2.207726685
0.0135,0.0705,0,3.83607015
0.0135,0.0705,0.003,2.27822922
0.0135,0.0715,0,3.89616446
0.0135,0.0715,0.003,2.338412503
0.0135,0.0725,0,3.956248237
0.0135,0.0725,0.003,2.397924656
0.0135,0.0735,0,4.016332014
0.0135,0.0735,0.003,2.457436808
0.0135,0.0745,0,4.076036829
0.0135,0.0745,0.003,2.516310204
0.0135,0.0755,0,4.116106451
0.0135,0.0755,0.003,2.542087713
0.0135,0.0765,0,4.156176074
0.0135,0.0765,0.003,2.567865222
0.0135,0.0775,0,4.196245696
0.0135,0.0775,0.003,2.593642731
0.0135,0.0785,0,4.234163675
0.0135,0.0785,0.003,2.61616024
0.0135,0.0795,0,4.252485191
0.0135,0.0795,0.003,2.608986724
0.0135,0.0805,0,4.270806708
0.0135,0.0805,0.003,2.601813209
0.0135,0.0815,0,4.289128224
0.0135,0.0815,0.003,2.594639693
0.0135,0.0825,0,4.309033549
0.0135,0.0825,0.003,2.586214712
0.0135,0.0835,0,4.336206385
0.0135,0.0835,0.003,2.572047218
0.0135,0.0845,0,4.363379222
0.0135,0.0845,0.003,2.557879724
0.0135,0.0855,0,4.390552059
0.0135,0.0855,0.003,2.54371223
0.0135,0.0865,0,4.430729489
0.0135,0.0865,0.003,2.535140814
0.0135,0.0875,0,4.508125768
0.0135,0.0875,0.003,2.542585244
0.0135,0.0885,0,4.585522047
0.0135,0.0885,0.003,2.550029674
0.0135,0.0895,0,4.662918326
0.0135,0.0895,0.003,2.557474104
0.0135,0.0905,0,4.781905499
0.0135,0.0905,0.003,2.575231848
0.0135,0.0915,0,4.98201241
0.0135,0.0915,0.003,2.61310489
0.0135,0.0925,0,5.182119322
0.0135,0.0925,0.003,2.650977932
0.0135,0.0935,0,5.382226233
0.0135,0.0935,0.003,2.688850974
0.0135,0.0945,0,6.624459983
0.0135,0.0945,0.003,3.25123222
0.0135,0.0955,0,9.312130663
0.0135,0.0955,0.003,4.541109871
0.0135,0.0965,0,11.99980134
0.0135,0.0965,0.003,5.830987523
0.0135,0.0975,0,14.68747202
0.0135,0.0975,0.003,7.120865174
0.0135,0.0985,0,16.5117337
0.0135,0.0985,0.003,8.003907308
0.0135,0.0995,0,17.46889944
0.0135,0.0995,0.003,8.478376655
0.0145,0.0005,0,5.537178537
0.0145,0.0005,0.003,3.380716095
0.0145,0.0015,0,5.544098214
0.0145,0.0015,0.003,3.561075748
0.0145,0.0025,0,5.55101789
0.0145,0.0025,0.003,3.7414354
0.0145,0.0035,0,5.557937566
0.0145,0.0035,0.003,3.921795052
0.0145,0.0045,0,5.552374879
0.0145,0.0045,0.003,4.138094192
0.0145,0.0055,0,5.537733627
0.0145,0.0055,0.003,4.380532527
0.0145,0.0065,0,5.523092375
0.0145,0.0065,0.003,4.622970863
0.0145,0.0075,0,5.508451123
0.0145,0.0075,0.003,4.865409198
0.0145,0.0085,0,5.469229866
0.0145,0.0085,0.003,4.932368238
0.0145,0.0095,0,5.417285973
0.0145,0.0095,0.003,4.908499017
0.0145,0.0105,0,5.36534208
0.0145,0.0105,0.003,4.884629797
0.0145,0.0115,0,5.313398187
0.0145,0.0115,0.003,4.860760576
0.0145,0.0125,0,5.243615106
0.0145,0.0125,0.003,4.629567529
0.0145,0.0135,0,5.167529449
0.0145,0.0135,0.003,4.325127075
0.0145,0.0145,0,5.091443792
0.0145,0.0145,0.003,4.020686622
0.0145,0.0155,0,5.015358134
