X [m],Y [m],Z [m],Heat Transfer Coefficient [W/m^2/K]
0.0005,0.0835,0,3.970970093
0.0005,0.0835,0.003,2.061334624
0.0005,0.0845,0,4.03817733
0.0005,0.0845,0.003,2.104097084
0.0005,0.0855,0,4.105384567
0.0005,0.0855,0.003,2.146859544
0.0005,0.0865,0,4.179167077
0.0005,0.0865,0.003,2.200989791
0.0005,0.0875,0,4.271767866
0.0005,0.0875,0.003,2.287654387
0.0005,0.0885,0,4.364368655
0.0005,0.0885,0.003,2.374318984
0.0005,0.0895,0,4.456969444
0.0005,0.0895,0.003,2.46098358
0.0005,0.0905,0,4.587632523
0.0005,0.0905,0.003,2.545639693
0.0005,0.0915,0,4.792533078
0.0005,0.0915,0.003,2.62637842
0.0005,0.0925,0,4.997433632
0.0005,0.0925,0.003,2.707117147
0.0005,0.0935,0,5.202334187
0.0005,0.0935,0.003,2.787855874
0.0005,0.0945,0,6.482284721
0.0005,0.0945,0.003,3.38033026
0.0005,0.0955,0,9.253336802
0.0005,0.0955,0.003,4.682585443
0.0005,0.0965,0,12.02438888
0.0005,0.0965,0.003,5.984840627
0.0005,0.0975,0,14.79544097
0.0005,0.0975,0.003,7.287095811
0.0005,0.0985,0,16.67618954
0.0005,0.0985,0.003,8.177840571
0.0005,0.0995,0,17.66283283
0.0005,0.0995,0.003,8.655317672
0.0015,0.0005,0,6.449810757
0.0015,0.0005,0.003,1.774562271
0.0015,0.0015,0,6.429560261
0.0015,0.0015,0.003,1.823336504
0.0015,0.0025,0,6.409309764
0.0015,0.0025,0.003,1.872110737
0.0015,0.0035,0,6.389059268
0.0015,0.0035,0.003,1.920884969
0.0015,0.0045,0,6.353192411
0.0015,0.0045,0.003,1.965766077
0.0015,0.0055,0,6.305967597
0.0015,0.0055,0.003,2.007815672
0.0015,0.0065,0,6.258742784
0.0015,0.0065,0.003,2.049865267
0.0015,0.0075,0,6.21151797
0.0015,0.0075,0.003,2.091914861
0.0015,0.0085,0,6.14346845
0.0015,0.0085,0.003,2.077829945
0.0015,0.0095,0,6.064640041
0.0015,0.0095,0.003,2.034689749
0.0015,0.0105,0,5.985811632
0.0015,0.0105,0.003,1.991549554
0.0015,0.0115,0,5.906983223
0.0015,0.0115,0.003,1.948409358
0.0015,0.0125,0,5.803203296
0.0015,0.0125,0.003,1.915992191
0.0015,0.0135,0,5.690608011
0.0015,0.0135,0.003,1.887363465
0.0015,0.0145,0,5.578012726
0.0015,0.0145,0.003,1.85873474
0.0015,0.0155,0,5.46541744
0.0015,0.0155,0.003,1.830106014
0.0015,0.0165,0,5.351139658
0.0015,0.0165,0.003,1.884345241
0.0015,0.0175,0,5.236489878
0.0015,0.0175,0.003,1.956906452
0.0015,0.0185,0,5.121840098
0.0015,0.0185,0.003,2.029467664
0.0015,0.0195,0,5.007190318
0.0015,0.0195,0.003,2.102028875
0.0015,0.0205,0,4.932855819
0.0015,0.0205,0.003,2.206399713
0.0015,0.0215,0,4.863053878
0.0015,0.0215,0.003,2.314346838
0.0015,0.0225,0,4.793251938
0.0015,0.0225,0.003,2.422293964
0.0015,0.0235,0,4.723449997
0.0015,0.0235,0.003,2.530241089
0.0015,0.0245,0,4.676285042
0.0015,0.0245,0.003,2.535342524
0.0015,0.0255,0,4.629607203
0.0015,0.0255,0.003,2.538230867
0.0015,0.0265,0,4.582929364
0.0015,0.0265,0.003,2.54111921
0.0015,0.0275,0,4.534082068
0.0015,0.0275,0.003,2.536828006
0.0015,0.0285,0,4.450593052
0.0015,0.0285,0.003,2.417894334
0.0015,0.0295,0,4.367104036
0.0015,0.0295,0.003,2.298960663
0.0015,0.0305,0,4.28361502
0.0015,0.0305,0.003,2.180026991
0.0015,0.0315,0,4.198221065
0.0015,0.0315,0.003,2.060674674
0.0015,0.0325,0,4.101021016
0.0015,0.0325,0.003,1.938727753
0.0015,0.0335,0,4.003820968
0.0015,0.0335,0.003,1.816780831
0.0015,0.0345,0,3.906620919
0.0015,0.0345,0.003,1.69483391
0.0015,0.0355,0,3.804209109
0.0015,0.0355,0.003,1.594342775
0.0015,0.0365,0,3.683203971
0.0015,0.0365,0.003,1.570396695
0.0015,0.0375,0,3.562198833
0.0015,0.0375,0.003,1.546450614
0.0015,0.0385,0,3.441193695
0.0015,0.0385,0.003,1.522504534
0.0015,0.0395,0,3.311565513
0.0015,0.0395,0.003,1.517787683
0.0015,0.0405,0,3.161714464
0.0015,0.0405,0.003,1.558167452
0.0015,0.0415,0,3.011863414
0.0015,0.0415,0.003,1.598547221
0.0015,0.0425,0,2.862012365
0.0015,0.0425,0.003,1.638926989
0.0015,0.0435,0,2.72265542
0.0015,0.0435,0.003,1.66639464
0.0015,0.0445,0,2.60049807
0.0015,0.0445,0.003,1.672699627
0.0015,0.0455,0,2.47834072
0.0015,0.0455,0.003,1.679004614
0.0015,0.0465,0,2.35618337
0.0015,0.0465,0.003,1.6853096
0.0015,0.0475,0,2.26163872
0.0015,0.0475,0.003,1.673107171
0.0015,0.0485,0,2.199648314
0.0015,0.0485,0.003,1.639085255
0.0015,0.0495,0,2.137657909
0.0015,0.0495,0.003,1.605063339
0.0015,0.0505,0,2.075667503
0.0015,0.0505,0.003,1.571041423
0.0015,0.0515,0,2.057754302
0.0015,0.0515,0.003,1.557764728
0.0015,0.0525,0,2.077549691
0.0015,0.0525,0.003,1.562235824
0.0015,0.0535,0,2.09734508
0.0015,0.0535,0.003,1.566706919
0.0015,0.0545,0,2.11714047
0.0015,0.0545,0.003,1.571178015
0.0015,0.0555,0,2.171810948
0.0015,0.0555,0.003,1.631651575
0.0015,0.0565,0,2.247953296
0.0015,0.0565,0.003,1.726604692
0.0015,0.0575,0,2.324095644
0.0015,0.0575,0.003,1.821557809
0.0015,0.0585,0,2.400237992
0.0015,0.0585,0.003,1.916510926
0.0015,0.0595,0,2.481266013
0.0015,0.0595,0.003,2.052146558
0.0015,0.0605,0,2.564398532
0.0015,0.0605,0.003,2.205306133
0.0015,0.0615,0,2.647531051
0.0015,0.0615,0.003,2.358465709
0.0015,0.0625,0,2.73066357
0.0015,0.0625,0.003,2.511625284
0.0015,0.0635,0,2.804472333
0.0015,0.0635,0.003,2.62233578
0.0015,0.0645,0,2.875634971
0.0015,0.0645,0.003,2.72099903
0.0015,0.0655,0,2.946797609
0.0015,0.0655,0.003,2.819662281
0.0015,0.0665,0,3.017960247
0.0015,0.0665,0.003,2.918325531
0.0015,0.0675,0,3.074445481
0.0015,0.0675,0.003,2.912398249
0.0015,0.0685,0,3.128520203
0.0015,0.0685,0.003,2.889293768
0.0015,0.0695,0,3.182594926
0.0015,0.0695,0.003,2.866189287
0.0015,0.0705,0,3.236669649
0.0015,0.0705,0.003,2.843084806
0.0015,0.0715,0,3.291917867
0.0015,0.0715,0.003,2.749906213
0.0015,0.0725,0,3.347242405
0.0015,0.0725,0.003,2.652170226
0.0015,0.0735,0,3.402566944
0.0015,0.0735,0.003,2.554434239
0.0015,0.0745,0,3.457998373
0.0015,0.0745,0.003,2.456847222
0.0015,0.0755,0,3.518968157
0.0015,0.0755,0.003,2.366978753
0.0015,0.0765,0,3.579937941
0.0015,0.0765,0.003,2.277110284
0.0015,0.0775,0,3.640907724
0.0015,0.0775,0.003,2.187241815
0.0015,0.0785,0,3.701565106
0.0015,0.0785,0.003,2.103914532
0.0015,0.0795,0,3.759377229
0.0015,0.0795,0.003,2.08016224
0.0015,0.0805,0,3.817189352
0.0015,0.0805,0.003,2.056409948
0.0015,0.0815,0,3.875001475
0.0015,0.0815,0.003,2.032657656
0.0015,0.0825,0,3.934088598
0.0015,0.0825,0.003,2.021011804
0.0015,0.0835,0,3.999026223
0.0015,0.0835,0.003,2.064917931
0.0015,0.0845,0,4.063963848
0.0015,0.0845,0.003,2.108824059
0.0015,0.0855,0,4.128901474
0.0015,0.0855,0.003,2.152730186
0.0015,0.0865,0,4.200773443
0.0015,0.0865,0.003,2.207773856
0.0015,0.0875,0,4.292491346
0.0015,0.0875,0.003,2.294692919
0.0015,0.0885,0,4.38420925
0.0015,0.0885,0.003,2.381611983
0.0015,0.0895,0,4.475927153
0.0015,0.0895,0.003,2.468531046
0.0015,0.0905,0,4.605872937
0.0015,0.0905,0.003,2.552944686
0.0015,0.0915,0,4.81037917
